install_id,created_at,updated_at,app_version,build_number,release_channel,first_run_at,last_seen_at,timestamp,app_launched_count,days_since_install,days_since_last_seen,internet_status,windows_version,os_architecture,dotnet_runtime_version,ram_bucket,cpu_core_bucket,screen_resolution_bucket,country_setting,currency_setting,startup_time_bucket_ms,feature_flags,last_update_prompt_at,last_update_installed_at,crash_count,type,run_id
6b4ead83-a53d-4603-9c2f-bca325692a8e,2026-04-27T13:16:47.421484+00:00,2026-04-27T13:16:48.495176+00:00,1.3.2,1200,production,2026-04-27T13:16:45.369437+00:00,2026-04-27T13:16:48.260479+00:00,2026-04-27T13:16:48.259532+00:00,1,0,0,True,Microsoft Windows 10.0.22621,X64,.NET 8.0.16,4-8GB,1-2 Cores,1920x1080,MY,MYR,1000-2000,"['new_checkout', 'tax_inclusive']",,,0,app_launch,
f892dd31-2dad-42e9-b256-bab4ac6779da,2026-04-01T11:57:01.041567+00:00,2026-04-01T12:10:46.103022+00:00,1.2.0,1100,production,2026-04-01T11:56:52.017458+00:00,2026-04-01T12:10:42.027283+00:00,2026-04-01T12:10:41.930353+00:00,3,,,True,Microsoft Windows 10.0.19045,X64,.NET 8.0.25,0-4GB,1-2 Cores,1366x768,ZM,ZMW,1000-2000,"['new_checkout', 'tax_inclusive']",,,0,app_launch,
4d1a4185-e52e-4471-8e95-0a0bb05246f5,2026-04-01T12:10:46.258232+00:00,2026-04-01T12:10:46.258232+00:00,1.2.0,1100,production,2026-04-01T12:10:41.15947+00:00,2026-04-01T12:10:42.039934+00:00,2026-04-01T12:10:41.967857+00:00,1,,,True,Microsoft Windows 10.0.19045,X64,.NET 8.0.25,0-4GB,1-2 Cores,1366x768,ZM,ZMW,1000-2000,"['new_checkout', 'tax_inclusive']",,,0,app_launch,
f206fd61-9fd3-4c65-902a-ecc2f0d57c40,2026-04-01T15:11:52.600199+00:00,2026-04-01T15:11:52.600199+00:00,1.2.0,1100,production,2026-04-01T14:54:51.386594+00:00,2026-04-01T15:11:45.06976+00:00,2026-04-01T15:11:44.798805+00:00,2,,,True,Microsoft Windows 10.0.19045,X64,.NET 8.0.25,0-4GB,1-2 Cores,1366x768,ZM,ZMW,1000-2000,"['new_checkout', 'tax_inclusive']",,,0,app_launch,
30364a78-08b4-4590-ac16-cbcb1fa5b771,2026-04-01T03:13:34.000494+00:00,2026-04-01T20:36:39.009205+00:00,1.0.0,1100,production,2026-04-01T03:13:31.673967+00:00,2026-04-01T20:36:36.176897+00:00,2026-04-01T20:36:36.174581+00:00,18,,,True,Microsoft Windows 10.0.26100,X64,.NET 8.0.25,16-32GB,5-8 Cores,1366x768,EG,USD,1000-2000,"['new_checkout', 'tax_inclusive']",,,0,app_launch,
a85ae268-febc-428e-bdc6-1d85ac07ce64,2026-04-01T20:40:04.817533+00:00,2026-04-01T20:49:48.00907+00:00,1.0.0,1100,production,2026-04-01T20:40:01.669455+00:00,2026-04-01T20:49:45.560369+00:00,2026-04-01T20:49:45.558016+00:00,2,,,True,Microsoft Windows 10.0.26100,X64,.NET 8.0.25,16-32GB,5-8 Cores,1366x768,EG,USD,1000-2000,"['new_checkout', 'tax_inclusive']",,,0,app_launch,
41bcc63c-ab11-49bc-9d04-c47aec21486e,2026-04-03T08:16:47.129895+00:00,2026-04-03T08:16:47.129895+00:00,1.2.0,1100,production,2026-04-03T08:16:41.856642+00:00,2026-04-03T08:16:41.903575+00:00,2026-04-03T08:16:41.902405+00:00,1,,,True,Microsoft Windows 10.0.19045,X64,.NET 8.0.25,4-8GB,5-8 Cores,1920x1080,PK,PKR,1000-2000,"['new_checkout', 'tax_inclusive']",,,0,app_launch,
f78f2162-f6da-4f1c-a350-8de0ea2cfe65,2026-04-03T08:27:23.195141+00:00,2026-04-03T08:27:23.195141+00:00,1.2.0,1100,production,2026-04-03T08:27:20.938124+00:00,2026-04-03T08:27:20.978602+00:00,2026-04-03T08:27:20.976912+00:00,1,,,True,Microsoft Windows 10.0.19045,X64,.NET 8.0.25,4-8GB,5-8 Cores,1920x1080,,PKR,1000-2000,"['new_checkout', 'tax_inclusive']",,,0,app_launch,
e70fbaee-6637-425c-a57e-a9e07cfdbe4b,2026-04-03T21:55:43.492277+00:00,2026-04-03T21:55:43.492277+00:00,1.2.0,1100,production,2026-04-03T21:55:40.185301+00:00,2026-04-03T21:55:40.36115+00:00,2026-04-03T21:55:40.360121+00:00,1,,,True,Microsoft Windows 10.0.19045,X64,.NET 8.0.11,4-8GB,3-4 Cores,1366x768,SV,USD,1000-2000,"['new_checkout', 'tax_inclusive']",,,0,app_launch,
73b89656-0604-44c2-a6d4-7f56a00629a6,2026-04-04T02:41:33.943881+00:00,2026-04-04T02:41:33.943881+00:00,1.2.0,1100,production,2026-04-04T02:41:31.136536+00:00,2026-04-04T02:41:31.187195+00:00,2026-04-04T02:41:31.186363+00:00,1,,,True,Microsoft Windows 10.0.26200,X64,.NET 8.0.23,8-16GB,9-16 Cores,1920x1080,EC,USD,1000-2000,"['new_checkout', 'tax_inclusive']",,,0,app_launch,
